Influencer Name,Category,Subcategory,Country,Follower Count,Engagement Rate,Platform Used,Platforms,Content Format,Number of Deliverables,Deliverables per Month,Audience Demographics,Female %,Audience Country,Audience Interests,Past Performance,Audience Age
Saransh Goila,Food,Cooking,India,1000000,0.034,"YouTube, Instagram","['YouTube', 'Instagram']",Travel+Food videos,6–8/month,7,"Food explorers, India",50,India,['food explorers'],Butter chicken king,
Digital Pratik,Marketing,Startups,India,700000,0.041,"Instagram, YouTube","['Instagram', 'YouTube']",Biz & motivation reels,10+/month,10,"Budding entrepreneurs, India",50,India,['budding entrepreneurs'],Hustle-style content,
Malini Agarwal (MissMalini),Entertainment,Pop Culture,India,2000000,0.028,"Instagram, YouTube","['Instagram', 'YouTube']",Bollywood/news,6–8/month,7,"Pop culture crowd, India",50,India,['pop culture crowd'],Veteran celeb blogger,
Tanya Arora,Fashion,Casual,India,300000,0.036,Instagram,['Instagram'],Fashion reels,6/month,6,"Young women, India",50,India,['young women'],Daily wear inspiration,
Zubair Sarookh,Comedy/Entertainment,Skits/Pranks,UAE/India,5000000,0.043,"Instagram, YouTube","['Instagram', 'YouTube']","Skits, character content",8–10/month,9,"70% Gen Z, MENA & India",50,India,"['70% gen z', 'mena &']","High viral reach in UAE, consistent humor",
RJ Abhinav,Comedy/Entertainment,Skits,India,2500000,0.038,"Instagram, YouTube","['Instagram', 'YouTube']","Reels, voiceovers",10+/month,10,"18–35, India urban audience",50,India,['urban audience'],"Popular among youth, known for relatability",18–35
Funcho,Comedy/Entertainment,Skits,India,4000000,0.045,"YouTube, Instagram","['YouTube', 'Instagram']","Group comedy, sketches",8–10/month,9,"Youth India, Gen Z",50,India,"['youth', 'gen z']","Trend-driven content, strong brand collabs",
Kusha Kapila,Fashion/Comedy,Satire,India,3200000,0.039,"Instagram, YouTube","['Instagram', 'YouTube']",Fashion & satire,6–8/month,7,"Millennial women, India",50,India,['millennial women'],Social commentary & viral characters,
Niharika NM,Comedy,Skits/Relatable,India,2800000,0.047,"Instagram, YouTube","['Instagram', 'YouTube']","Reels, sketches",8–10/month,9,"Gen Z, India, USA",50,USA,['gen z'],"Instagram breakout, fast-growing",
Danish Sait,Comedy,Character Comedy,India,1100000,0.032,"Instagram, YouTube","['Instagram', 'YouTube']","Sketches, cricket humor",4–6/month,5,"Cricket fans, urban India",50,India,"['cricket fans', 'urban']",Popular for quirky regional humor,
MostlySane,Comedy/Lifestyle,Skits/Lifestyle,India,7000000,0.042,"YouTube, Instagram","['YouTube', 'Instagram']","Vlogs, relatable comedy",8–10/month,9,"Teen to young adults, India",50,India,['teen to young adults'],YouTube India original creator,
Kenny Sebastian,Comedy,Stand-up,India,1500000,0.03,"YouTube, Instagram","['YouTube', 'Instagram']","Stand-up, sketches",4–6/month,5,"20–40 age group, India/NRIs",50,India,['/nris'],"Known stand-up act, Netflix specials",20–40
Anubhav Singh Bassi,Comedy,Stand-up,India,2000000,0.046,"YouTube, Instagram","['YouTube', 'Instagram']","Live sets, clips",6–8/month,7,"College crowd, urban India",50,India,"['college crowd', 'urban']","Sold-out shows, meme-friendly content",
Saloni Gaur (Nazma Aapi),Comedy,Satire,India,1000000,0.038,"Instagram, YouTube","['Instagram', 'YouTube']",Character sketches,6–8/month,7,"Political satire fans, India",50,India,['political satire fans'],Consistent in social-political comedy,
Saloni Sehra,Fashion,Casual,India,650000,0.029,Instagram,['Instagram'],Fashion reels,8–10/month,9,"Gen Z women, India",50,India,['gen z women'],"Campus-fashion focused, high relatability",
Sanket Mehta,Beauty,Men’s Grooming,India,2100000,0.042,"Instagram, TikTok","['Instagram', 'TikTok']","Skits, grooming content",8–10/month,9,"Youth, India",50,India,['youth'],High engagement from regional youth,
Satish Ray,Comedy,Skits,India,2500000,0.052,"Instagram, YouTube","['Instagram', 'YouTube']","Skits, character comedy",6–8/month,7,"Youth, tier 2/3 cities",50,,"['youth', 'tier 2/3 cities']","High relatability, viral characters",
Sejal Kumar,Fashion,Casual,India,1300000,0.031,"YouTube, Instagram","['YouTube', 'Instagram']","Vlogs, fashion",6–8/month,7,"College students, India",50,India,['college students'],Early YouTube fashion creator in India,
Sharan Hegde (FinanceWithSharan),Finance,Personal Finance,India,3000000,0.05,"Instagram, YouTube","['Instagram', 'YouTube']",Skits + finance,8–10/month,9,"Gen Z, finance beginners",50,,"['gen z', 'finance beginners']",Viral reels on personal finance,
Shaurya Sanadhya,Beauty,Skincare,India,950000,0.035,Instagram,['Instagram'],Beauty tutorials,6–8/month,7,"Women, 20–35",50,,['women'],Trusted for Indian skincare routines,20–35
Sheetal Tiwari,Fashion,Vintage,India,550000,0.027,Instagram,['Instagram'],Ethnic/vintage styling,6/month,6,Young Indian women,50,India,['young n women'],Niche styling inspiration,
Shraddha Srinath,Fashion,Streetwear,India,1000000,0.032,Instagram,['Instagram'],Fashion + film content,4–6/month,5,"South India, film fans",50,India,"['south', 'film fans']",Actress with strong style appeal,
Shruti Haasan,Beauty,Haircare,India,7000000,0.021,Instagram,['Instagram'],Celebrity + beauty,4–6/month,5,"Film fans, India",50,India,['film fans'],"Known for personal style, celeb audience",
Siddharth Batra,Beauty,Men’s Grooming,India,750000,0.045,Instagram,['Instagram'],Men’s styling,6–8/month,7,"Urban men, India",50,India,['urban men'],Unique experimental style,
Simran Balar Jain,Fashion,Casual,India,600000,0.028,Instagram,['Instagram'],Fashion & lifestyle,6–8/month,7,"College students, India",50,India,['college students'],Consistent brand collaborations,
Singh Freestylers,Sports,Football,India,1200000,0.04,"YouTube, Instagram","['YouTube', 'Instagram']",Freestyle football,6–8/month,7,"Sports fans, youth India",50,India,"['sports fans', 'youth']",Viral freestyling videos,
Smriti Mandhana,Sports,Cricket,India,7000000,0.033,Instagram,['Instagram'],Athlete content,4–6/month,5,"Cricket fans, youth",50,,"['cricket fans', 'youth']",Strong women’s cricket icon,
Soha Ali Khan,Beauty,Skincare,India,2000000,0.025,Instagram,['Instagram'],Beauty + parenting,4–6/month,5,"Moms, wellness audience",50,,"['moms', 'wellness audience']",Celebrity + beauty brand deals,
Sonali Bendre,Health & Fitness,Mental Health,India,3000000,0.028,Instagram,['Instagram'],Wellness posts,4–6/month,5,"Older audience, cancer survivors",50,,"['older audience', 'cancer survivors']",Inspirational health journey,
Sonam Kapoor,Fashion,Luxury,India,34000000,0.018,Instagram,['Instagram'],Luxury styling,4–6/month,5,Fashion-forward audience,50,,['fashion-forward audience'],"Fashionista celeb, known for couture",
Sorav Jain,Education,Digital Marketing,India,1000000,0.034,"Instagram, LinkedIn","['Instagram', 'LinkedIn']",Marketing tips,6–8/month,7,"Entrepreneurs, marketers",50,,"['entrepreneurs', 'marketers']",Strong authority in digital education,
Stebin Ben,Music,Originals & Covers,India,1000000,0.03,"Instagram, YouTube","['Instagram', 'YouTube']",Music content,6/month,6,"Bollywood music fans, India",50,India,['bollywood music fans'],Strong streaming presence,
Sukriti & Prakriti,Music,Pop Music,India,1300000,0.028,Instagram,['Instagram'],Music content,6–8/month,7,"Pop music lovers, youth",50,,"['pop music lovers', 'youth']","Consistent duo brand, live events",
Sumit Goswami,Music,Haryanvi Pop,India,2000000,0.032,"YouTube, Instagram","['YouTube', 'Instagram']",Regional music,6/month,6,"North India, youth",50,India,"['north', 'youth']",Regional music success,
Sunidhi Chauhan,Music,Playback Singing,India,5000000,0.021,Instagram,['Instagram'],Music + event clips,4–6/month,5,Bollywood music fans,50,,['bollywood music fans'],"Industry veteran, voice-based presence",
Supriya Joshi (Supaarwoman),Comedy,Skits,India,500000,0.048,"Instagram, YouTube","['Instagram', 'YouTube']",Comedy sketches,6–8/month,7,"Women, urban India",50,India,"['women', 'urban']","Unique humor, body positivity",
Surabhi & Samriddhi,Lifestyle,Twins Content,India,2500000,0.05,Instagram,['Instagram'],"Skits, lifestyle",8–10/month,9,"Gen Z, TikTok legacy",50,,"['gen z', 'tiktok legacy']",High virality twins duo,
Swati Bathwal,Health & Fitness,Nutrition,India/AUS,600000,0.033,Instagram,['Instagram'],"Wellness, nutrition posts",4–6/month,5,"Health-conscious, India/Australia",50,India,['health-conscious'],"Expert-led content, nutritionist credentials",
Tanya Appachu,Education,Personal Development,India,300000,0.047,Instagram,['Instagram'],Feminist finance tips,6–8/month,7,"Working women, India",50,India,['working women'],Empowerment + finance focus,
Tarini Shah,Lifestyle,Fashion/Skits,India,1100000,0.041,Instagram,['Instagram'],"Reels, vlogs",8–10/month,9,"Young women, Gen Z",50,,"['young women', 'gen z']","Bold fashion voice, consistent content",
Tech Burner,Technology,Gadgets,India,10000000,0.053,"YouTube, Instagram","['YouTube', 'Instagram']",Tech videos,8–10/month,9,"Tech-savvy youth, India",50,India,['tech-savvy youth'],Top tech YouTuber in India,
Tejas Hullur,Finance,Startups,India,600000,0.046,Instagram,['Instagram'],Startup breakdowns,8–10/month,9,Aspiring entrepreneurs,50,,['aspiring entrepreneurs'],Popular finance explainer,
Tena Desae,Fashion,Luxury,India,400000,0.026,Instagram,['Instagram'],Fashion shoots,4–6/month,5,"Film lovers, India",50,India,['film lovers'],Fashion model turned actor,
That Boho Girl (Kritika Khurana),Fashion,Casual,India,1300000,0.03,Instagram,['Instagram'],Fashion + lifestyle,6–8/month,7,"Fashionistas, India",50,India,['fashionistas'],Early boho aesthetic influencer,
That Indian Chick,Lifestyle,Comedy,India,500000,0.036,"YouTube, Instagram","['YouTube', 'Instagram']",Vlogs + jokes,6/month,6,Millennial women,50,,['millennial women'],"Sarcastic voice, identity-based humor",
The Glutton Co.,Food,Restaurant Reviews,India,1000000,0.035,Instagram,['Instagram'],Food reels,6–8/month,7,"Foodies, urban India",50,India,"['foodies', 'urban']","Mouthwatering visuals, relatable captions",
Technical Guruji,Technology,Consumer Electronics,India,22000000,0.025,"YouTube, Instagram","['YouTube', 'Instagram']","Tech reviews, unboxings",8–10/month,9,"85% Male, India, 18–35",15,India,[],"Consistent high-quality reviews, strong brand tie-ins",18–35
Unbox Therapy,Technology,Gadgets,Canada,18000000,0.022,"YouTube, Instagram","['YouTube', 'Instagram']","Unboxings, first looks",8–10/month,9,"Gadget lovers, global, 18–34",50,,"['gadget lovers', 'global']","Viral unboxing videos, trendsetter in tech space",18–34
Gaurav Chaudhary (Technical Guruji),Technology,Consumer Electronics,India,22000000,0.025,"YouTube, Instagram","['YouTube', 'Instagram']","Tech reviews, unboxings",8–10/month,9,"85% Male, India, 18–35",15,India,[],"Consistent high-quality reviews, strong brand tie-ins",18–35
